id,name
10036,the Revamed Healthcare Partners
10016,Scott & Jonah Mds
10019,First Physicians
10021,"Trophy Club Pediatrics, PA"
10025,Seven Hills Medical Group
10035,Margarita M Vendrell MD
10036,the Revamed Healthcare Partners
10037,Trinity Medical Clinic
10044,Corry Memorial Hospital
10045,"Valerie A. Hiveley Blatz, GNP"
10046,Dr. Adnan Yousuf
10047,Internal Medicine of Wakefield
10048,Spine Institute Of Idaho
10051,Kiddos Health and Urgent Care
10052,Integrative Medical Group
10054,Northshore Eye Care Inc
10055,Peak Neurology and Sleep Medicine
10056,Atlanta Orthopaedic Institute
10058,Liza Presser Belkin MD
10064,"Steven J Steele MD, FACS, PA"
10068,Abernathy Clinic
10069,Bradon Kimura MD Inc.
10075,Henal J Shah MD P.C.
10076,The Musello Partnership LLC
10077,Fish River Rural Health
10081,Neurology Specialists of the Treasu
10088,George Condax Retina Spec PPLC
10095,New Jersey Foot and Ankle Associates
10096,Total Patient Care of Ocala
10097,Jose J Monsivais MD PA
10098,WESTERN DUPAGE OBSTETRICS AND GYNEC
10099,Hamdard Health Alliance
10109,"METRO XTRACARE, P.C."
10112,Twin County Physicians Practices
10114,Ascension Medical Group
10117,Starfish Pediatrics
10127,Heartland Medical Associates LLC
10128,ESFANDIAR ESFANDIARIFARD M.D. INC
10132,Allied Healthcare
10133,the New Horizon Family Health Services
10134,"MCJR, LLC"
10136,San Antonio Spine Center
10138,Andrew Adelson MD
10141,Unique Healthcare Options
10142,Winston-Salem Pediatrics
10147,"Rony Kako, M.D."
10148,Center for Women's Healthcare
10154,"MASONBORO URGENT CARE, P.C."
10155,The Glaucoma Institute
10157,"Cottonport, Marksville, Simmesport, Mansura and Palmetto Family Clinic"
10158,Health Express
10159,"Bernard Orewa, MD, PC"
10160,"Trinity Family Health Care, LLC"
10163,"Cuyahoga Falls Foot Care, Inc."
10170,Women's Health Connecticut and Women's Health of Central Massachusetts
10185,"Barrett Clinic, P.C."
10187,Brain and Spine Neurosurgical Institute
10193,Women's Health Specialists of Advantia
10194,Sheng H Chang MD Inc
10195,BALLINGER HOSPITAL CLINIC
